accession,spec count,peptide num,avg int m/z_126.127725,avg int m/z_127.12476,avg int m/z_128.134433,avg int m/z_129.131468,avg int m/z_130.141141,avg int m/z_131.138176,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,description
P62807,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC10 PE=1 SV=4
P58876,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-D OS=Homo sapiens OX=9606 GN=H2BC5 PE=1 SV=2
P33778,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-B OS=Homo sapiens OX=9606 GN=H2BC3 PE=1 SV=2
P23527,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-O OS=Homo sapiens OX=9606 GN=H2BC17 PE=1 SV=3
P06899,10,10,525734.4,503254.8,504294.3,451240.1,477074.4,539023.8,505752.9,514491.1,524770.3,422586.4,507761.7,531588,Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=H2BC11 PE=1 SV=3
P17661,34,34,798543.29,899024.21,733726,1202374.5,1068164,1073859.74,768193.62,919097.56,763517.82,1126024.85,1136873.71,1059046.26,Desmin OS=Homo sapiens OX=9606 GN=DES PE=1 SV=3
P61604,6,6,1003568.17,849892.17,660988,1120132.5,1231856.83,1056117.17,965426.33,868868.67,687826.33,1049005,1311096.33,1041548.33,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2"
P26678,2,2,758496,574235,575672,727486.5,746868,636314,729668.5,587056.5,599046.5,681291.5,794910,627536,Cardiac phospholamban OS=Homo sapiens OX=9606 GN=PLN PE=1 SV=1
P09493,19,19,1106484.11,1213427.84,971416.16,1047864.53,868858.37,1006122.68,1064430.89,1240521.26,1010859.05,981326.05,924747.58,992243.63,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2
P67936,14,14,766369.79,858234.57,702284.14,748214.36,638452.21,700788.64,737242.86,877397.07,730799.29,700703.29,679520.5,691121.36,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3
P02144,9,9,1828924.67,1855384.56,1594872.67,2093198.89,1595117.44,1805896.78,1759414.67,1896812.11,1659630.44,1960283.11,1697723.67,1780985.44,Myoglobin OS=Homo sapiens OX=9606 GN=MB PE=1 SV=2
P56381,4,4,1745696.75,1665334,2020388.75,1741798,1620883.25,1665106.5,1679349.75,1702518,2102424,1631195.75,1725147,1642137.25,"ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1E PE=1 SV=2"
Q5VTU8,4,4,1745696.75,1665334,2020388.75,1741798,1620883.25,1665106.5,1679349.75,1702518,2102424,1631195.75,1725147,1642137.25,"ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1"
P39019,7,7,342826.43,320750.43,323184,360920,321532.71,340253.43,329796.43,327911.86,336306.14,338001.71,342215,335559.43,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2
P62857,2,2,443600.5,749938,479360.5,676329,465161.5,522466,426740.5,766682.5,498824,633382.5,495082.5,515258.5,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1
Q9NX63,14,14,612137,636092.43,597880.57,629881.21,595306,676698.71,588871.71,650294.86,622156.5,589884.07,633598.93,667363.86,MICOS complex subunit MIC19 OS=Homo sapiens OX=9606 GN=CHCHD3 PE=1 SV=1
O00483,8,8,2999814.38,2578751.75,2601493,2748026.5,2150555.12,2716712.75,2885803.75,2636330.75,2707123.62,2573530.12,2288890.25,2679237.5,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1
P56556,5,5,404473.6,372070.6,381054.8,372335,331608.6,369575.2,389100.8,380377.8,396526.6,348691.8,352939,364476.8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4
P09669,3,3,1806177,1608374.33,2133922.67,2116743.67,1846516,1585569.67,1737531.33,1644286.33,2220568,1982332.67,1965293.67,1563698,Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2
P14854,4,4,572971.75,517690.25,516374.75,551834.5,442956.5,509787.75,551195,529248.75,537340.75,516793.25,471449.5,502755.25,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2
P19429,14,14,951630.5,860176,842556.36,907364.79,700988.43,774838.93,915462.64,879381.93,876767,849748,746079.36,764150.21,"Troponin I, cardiac muscle OS=Homo sapiens OX=9606 GN=TNNI3 PE=1 SV=3"
Q9UII2,5,5,553213.8,563557,491713,731675,689354.8,644525.2,532188,576139.8,511678.2,685214.2,733697.4,635634.2,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1"
P62899,4,4,261422.75,255929.25,249069,268367,240706,267652.75,251486.75,261643.25,259181.75,251325.75,256189,263960,60S ribosomal protein L31 OS=Homo sapiens OX=9606 GN=RPL31 PE=1 SV=1
P32119,8,8,648131.12,670586.12,536181.5,678987.5,704776.5,666821.75,623498.12,685558.88,557952,635872.25,750111.25,657623,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5
P09382,8,8,1997585,1905282.88,1721707.12,1773991.12,2120459,2018928.75,1921664.88,1947824.5,1791615,1661344.75,2256858.25,1991079,Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2
P59665,3,3,253679,262727,459042.67,249421.67,211823,226229.33,244037.33,268592.67,477681,233583.33,225448,223108.33,Neutrophil defensin 1 OS=Homo sapiens OX=9606 GN=DEFA1B PE=1 SV=1
P59666,3,3,253679,262727,459042.67,249421.67,211823,226229.33,244037.33,268592.67,477681,233583.33,225448,223108.33,Neutrophil defensin 3 OS=Homo sapiens OX=9606 GN=DEFA3 PE=1 SV=1
P06753,16,16,687465.81,873802.5,619769.56,674144.44,555658.94,638782.56,661337.69,893312.56,644934.19,631336.69,591401.5,629970.62,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2
Q9Y281,7,7,2128847.86,1969690.43,1856879.71,2678581.43,2110141.14,2171934.86,2047938.86,2013670.14,1932276,2508494.86,2245876.71,2141974.43,Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1
Q06830,9,9,1016630.11,886347.44,868747.11,1008824.67,987632.44,980093.22,977991.89,906137.56,904021.33,944765.44,1051161.89,966573.33,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1
P62937,9,9,1068652.22,1000635.67,916780.33,1186926.22,1136723.78,1134364.11,1028037,1022977.89,954004.89,1111557.56,1209843.56,1118716.11,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2
P00505,17,17,2060206.41,1764386.47,1426225.06,2153559.82,2134828.35,2058158.12,1981906.47,1803782,1484135.06,2016811.29,2272151.76,2029767.18,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3"
P02545,27,27,1084415.78,927591.85,956663.63,1070550.26,1090269.15,1023785.19,1043201.19,948303.07,995507.67,1002571.26,1160400.81,1009662.52,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
P62244,5,5,762456.2,841883.6,775022.6,808650.8,743838.8,813549.6,733478,860681,806491,757302.4,791686,802327,40S ribosomal protein S15a OS=Homo sapiens OX=9606 GN=RPS15A PE=1 SV=2
Q99584,4,4,595289.25,495697.75,429912.25,678598.25,698781.25,583445.75,572664.25,506765.5,447368,635507.75,743730,575397.25,Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1
P06703,3,3,813583.67,803962.33,813982.67,1370170.67,1597013.67,965852.33,782662.67,821913,847033.33,1283166.33,1699741.67,952528.67,Protein S100-A6 OS=Homo sapiens OX=9606 GN=S100A6 PE=1 SV=1
P21912,9,9,784983.56,831223.89,906551.89,739430.89,792754.44,755766.78,755149.11,849783.44,943360.89,692477.67,843748.33,745341.11,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3"
P62805,3,3,801990.67,703600.67,630605.33,613299.67,666204.67,695997,771510,719310.33,656210,574355.33,709058,686396,Histone H4 OS=Homo sapiens OX=9606 GN=H4-16 PE=1 SV=2
P08670,21,21,492105.43,511384.24,518752.29,533335.05,739404.71,684994.57,473402.1,522802.29,539815.19,499468.48,786966.71,675545.14,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
Q9UJY1,6,6,414247.33,411883.67,410419.33,498279.33,482823.5,479929.83,398503,421080,427083.67,466639,513881,473309.17,Heat shock protein beta-8 OS=Homo sapiens OX=9606 GN=HSPB8 PE=1 SV=1
P61981,10,10,807649.2,844724.7,809655.4,938871.9,856317.2,909183.7,776953.4,863585.7,842530.2,879254.4,911399.7,896641.8,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2
Q9H0N5,4,4,372136.25,401815.5,391215.75,389667,367414.5,397832.25,357992.5,410787,407100.25,364923.25,391048,392343.75,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Homo sapiens OX=9606 GN=PCBD2 PE=1 SV=4
P15954,3,3,327315.33,287199.33,330898,317108.67,247107,310940,314875,293611.67,344333.33,296972.33,263001.67,306650,"Cytochrome c oxidase subunit 7C, mitochondrial OS=Homo sapiens OX=9606 GN=COX7C PE=1 SV=1"
contaminant_UBIQUITIN08,3,3,1268741.33,1234326.67,1071611.33,1429746.33,1460919.67,1189408.33,1220521.33,1261886.67,1115122.67,1338958.67,1554893.67,1173001,no description
P62987,3,3,1268741.33,1234326.67,1071611.33,1429746.33,1460919.67,1189408.33,1220521.33,1261886.67,1115122.67,1338958.67,1554893.67,1173001,Ubiquitin-60S ribosomal protein L40 OS=Homo sapiens OX=9606 GN=UBA52 PE=1 SV=2
P62979,3,3,1268741.33,1234326.67,1071611.33,1429746.33,1460919.67,1189408.33,1220521.33,1261886.67,1115122.67,1338958.67,1554893.67,1173001,Ubiquitin-40S ribosomal protein S27a OS=Homo sapiens OX=9606 GN=RPS27A PE=1 SV=2
P0CG48,3,3,1268741.33,1234326.67,1071611.33,1429746.33,1460919.67,1189408.33,1220521.33,1261886.67,1115122.67,1338958.67,1554893.67,1173001,Polyubiquitin-C OS=Homo sapiens OX=9606 GN=UBC PE=1 SV=3
P0CG47,3,3,1268741.33,1234326.67,1071611.33,1429746.33,1460919.67,1189408.33,1220521.33,1261886.67,1115122.67,1338958.67,1554893.67,1173001,Polyubiquitin-B OS=Homo sapiens OX=9606 GN=UBB PE=1 SV=1
O75947,8,8,917202.12,911504.25,1049391.62,872481,839517.12,827300,882342.62,931856.12,1092000.62,817079.12,893519.12,815887.62,"ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3"
P00441,7,7,667769.14,618361.57,512017.43,764061.71,674332.29,683648.29,642389.43,632168.29,532806.86,715544.29,717708.57,674217.57,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2
O00217,7,7,999677,966019.43,923371.43,888844.57,857285.57,940679.29,961683,987588.57,960863.43,832403.71,912430.43,927703,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1"
P08559,18,18,801350.11,830817.56,796810.83,887638.67,848426,904125.22,770893.83,849368.06,829163.94,831274.33,903000.94,891653.17,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3"
P84243,6,6,3205376.33,2883893.83,3484847.17,2978384.5,3727408.17,4444269.17,3083553.33,2948286.33,3626345.5,2789260.83,3967175.17,4382964,Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3B PE=1 SV=2
P30405,8,8,1567515.75,1580793.38,1363968,2248681.75,1946498.75,2001272.75,1507940.5,1616089.38,1419350.12,2105893.25,2071707.88,1973666.38,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1"
P12883,153,153,3801177.24,3582055.44,3442052.42,3801472.79,2932420.75,3583754.16,3656710.31,3662036.75,3581813.09,3560084.12,3121049.85,3534318.92,Myosin-7 OS=Homo sapiens OX=9606 GN=MYH7 PE=1 SV=5
P18206,44,44,798509.3,732770.07,657736.91,921527.27,866187.91,882523.14,768160.8,749131.18,684443.14,863011.09,921905.39,870348.91,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4
P02511,7,7,882423.14,849933,811642.14,715911.29,685687.86,831114.86,848885.43,868910.14,844597.57,670451.57,729794.43,819649.86,Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2
P08133,26,26,932206.85,890692.92,724082.12,887783.62,738308.58,858777.46,896777.12,910580.15,753482.35,831410.15,785800.12,846930.85,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3
P48735,16,16,1373754.69,1316055.56,1106181.88,1212300.25,1461844,1430990.88,1321543.69,1345440.62,1151096.75,1135320.31,1555877.56,1411251.06,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2"
P12235,12,12,2724366.58,2196507.92,2593809.67,2196041.75,2422448.25,2286368.08,2620824.67,2245552.25,2699128.17,2056595.58,2578273,2254829.17,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4
P35232,8,8,1176882.88,1070111.62,1113406.75,1236164.25,1126864.12,1221062,1132154.25,1094005.12,1158614.88,1157669.12,1199349.75,1204217.75,Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1
Q16891,29,29,787301.34,762244.14,740455.55,816786.97,755819.41,828839.17,757378.93,779263.34,770520.48,764921.69,804437.41,817405.62,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1
Q96DG6,8,8,477546,529764.75,428695.5,637120.88,631075.25,600478.38,459396.12,541592.88,446101.75,596664.12,671668.88,592194.88,Carboxymethylenebutenolidase homolog OS=Homo sapiens OX=9606 GN=CMBL PE=1 SV=1
P13073,6,6,1062270.67,883602.33,956674.83,962998.17,813178.67,982038,1021897.83,903331.33,995519,901848.83,865486.33,968491.17,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1"
P40925,10,10,1002233.2,950098.6,703040.5,1137185.4,951766.2,973212.1,964141.9,971312.3,731586.5,1064975.2,1012988.8,959786.9,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4"
P62851,3,3,492632.67,503310.33,606772.33,558353.67,587276.33,583459.33,473909.33,514548,631409.33,522898.33,625052.67,575410.67,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1
P00558,16,16,958451.19,881815.25,731441.75,1142711.19,1210201.75,1116015.06,922024,901504.44,761140.69,1070150.25,1288048.12,1100620.12,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
Q02978,10,10,885194.2,735593.8,861455,776865.9,786692,832860.8,851551.3,752017.9,896433.1,727535.5,837295.9,821371.9,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3
O95182,6,6,575508,508240,563257.5,522478,497385.17,554325.67,553634.83,519587.5,586127.5,489300.83,529379.17,546678.83,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3
P00568,6,6,641087.83,632929.33,567501.17,719613.67,626515.83,661190.17,616722.5,647061.17,590543.5,673918.67,666816.33,652069,Adenylate kinase isoenzyme 1 OS=Homo sapiens OX=9606 GN=AK1 PE=1 SV=3
P36542,13,13,1273657.15,1207321.77,1470505.85,1175027.54,1139958.92,1150039.77,1225250.38,1234279,1530213.77,1100414.54,1213286.85,1134175.38,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1"
P50213,12,12,855255.25,824113.83,819436,870259,872137.92,842004.17,822750.25,842514.58,852707.83,814998.33,928238.08,830389.08,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1"
P08590,17,17,3960178.47,3956668.06,3456967.06,3747785.41,2781292.18,3473654.59,3809668.53,4045013.94,3597333.29,3509805.76,2960199.71,3425738,Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3
Q14896,48,48,1213451.42,1073386.52,1073325.27,1223843.69,991136.92,1106336.25,1167332.81,1097353.1,1116906.04,1146130.83,1054891.83,1091074.79,"Myosin-binding protein C, cardiac-type OS=Homo sapiens OX=9606 GN=MYBPC3 PE=1 SV=4"
P56385,3,3,670956.33,570213.33,700284,529007.33,510985.67,566144.33,645456,582944.67,728717.67,495415.67,543854.67,558334.33,"ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2"
Q15149,139,139,434568.6,421627.46,401381.46,438993.93,440338.93,410267.91,418052.01,431041.27,417678.69,411117.94,468663.51,404608.14,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
P46781,7,7,468911.29,434216.86,603562.29,530068.86,456723.29,435512.71,451089.29,443911.71,628068.86,496409.71,486101.86,429504.71,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3
P25705,23,23,2455014.09,2258403.3,2724957.52,2400726,2341112.91,2339959.87,2361709.04,2308829.61,2835601.26,2248282.83,2491705.78,2307681.61,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1"
P10916,8,8,2786223.25,3078440.12,3122390.12,2933211.75,1946879.88,2708017.38,2680330.38,3147176.38,3249171.25,2746956.25,2072113.38,2670662.12,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Homo sapiens OX=9606 GN=MYL2 PE=1 SV=3"
P60660,5,5,464904.4,450707.2,483804.2,483792.4,578469.4,634017.6,447235,460770.2,503447.8,453071.6,615679.4,625271.4,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2
P05141,11,11,1871438.18,1611127.82,1815734.91,1694711.09,1806495.64,1880060.82,1800312.36,1647101.45,1889460.45,1587098.73,1922698.91,1854126.64,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7
P12236,11,11,1871438.18,1611127.82,1815734.91,1694711.09,1806495.64,1880060.82,1800312.36,1647101.45,1889460.45,1587098.73,1922698.91,1854126.64,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4
Q9UIJ7,6,6,874799,779805.83,691378.67,917369.33,1011184.33,966341.33,841551,797217.33,719451,859117.17,1076228.83,953010.83,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4"
P51970,7,7,1901800.43,1650947,1889247,1633140.57,1546469.57,1714709.71,1829520.71,1687809.57,1965957.57,1529437.86,1645946.29,1691056.14,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens OX=9606 GN=NDUFA8 PE=1 SV=3
P11310,12,12,698995.75,893912.83,649999.25,1065274.08,949890.5,920167.08,672429.25,913872,676391.42,997630.17,1010992.08,907473.75,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1"
P61088,4,4,206479.25,190482.25,170105.75,195195.75,174344.5,173068,198631.25,194735,177012.25,182800.5,185558.75,170680.5,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1
Q5JXB2,4,4,206479.25,190482.25,170105.75,195195.75,174344.5,173068,198631.25,194735,177012.25,182800.5,185558.75,170680.5,Putative ubiquitin-conjugating enzyme E2 N-like OS=Homo sapiens OX=9606 GN=UBE2NL PE=1 SV=1
P62258,8,8,923020,964946.75,961004.5,989546,979871.5,1023689.5,887939.5,986492,1000024.62,926710.75,1042901.75,1009568.12,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1
P02768,19,19,3793355.74,2785762.68,2898176.11,2279820.58,1686343.79,1167517.53,3649186.05,2847963.95,3015853.21,2135054.74,1794818.37,1151412.16,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
P45880,11,11,2781477.45,2609147.36,2738359,2720638.91,2668961,2750690.36,2675764.82,2667405.27,2849546.91,2547881.82,2840642.91,2712746.64,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2
P00338,9,9,618508,595738,498524.11,579867.33,816285.67,738737.67,595000.78,609039.33,518765.78,543046,868793.22,728547,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2
P07737,3,3,790390.67,761439.33,695933.67,828989.67,771266.33,790657,760350.67,778440.33,724191,776349.33,820878,779750,Profilin-1 OS=Homo sapiens OX=9606 GN=PFN1 PE=1 SV=2
P10412,5,5,1141095.6,985776.4,1028317.2,812271.2,836836.2,917381.2,1097727,1007786.8,1070070.4,760692.6,890665.8,904726.4,Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2
P62249,3,3,683362.67,669641.33,636283,800220.33,660160.67,711613,657390.33,684593,662118.33,749407.33,702625.33,701796.33,40S ribosomal protein S16 OS=Homo sapiens OX=9606 GN=RPS16 PE=1 SV=2
P15924,90,90,692938.69,571039.61,627915.16,642335.96,575981.07,543527.92,666602.61,583789.52,653410.5,601548.06,613030.83,536029.92,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3
P62701,7,7,289552.71,288097.29,334051.14,313483.29,321564.29,321222.29,278547.43,294529.57,347614.57,293577,342248.43,316790.71,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2"
P07355,11,11,942433.27,854260.09,938185.45,828099,997644.18,852224.45,906614.91,873334,976279.18,775515.36,1061817.73,840468.27,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
P14927,3,3,1055064.67,943696,1052672,899626.33,975297.67,979691,1014965.67,964767,1095414,842501,1038033.67,966176.33,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2
Q9Y5L4,2,2,422263,411526.5,389585.5,481838,430991.5,410549.5,406214,420715,405403.5,451241.5,458714.5,404885.5,Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1
P35609,32,32,846546.06,891984.97,772304.22,996819,774435.56,920921.12,814371.94,911901.12,803662.22,933521.94,824251.09,908217.22,Alpha-actinin-2 OS=Homo sapiens OX=9606 GN=ACTN2 PE=1 SV=1
