accession,spec count,peptide num,avg int m/z_126.127725,avg int m/z_127.12476,avg int m/z_128.134433,avg int m/z_129.131468,avg int m/z_130.141141,avg int m/z_131.138176,norm int m/z_126.127725,norm int m/z_127.12476,norm int m/z_128.134433,norm int m/z_129.131468,norm int m/z_130.141141,norm int m/z_131.138176,description
Q99877,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-N OS=Homo sapiens OX=9606 GN=H2BC15 PE=1 SV=3
Q93079,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-H OS=Homo sapiens OX=9606 GN=H2BC9 PE=1 SV=3
Q5QNW6,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 2-F OS=Homo sapiens OX=9606 GN=H2BC18 PE=1 SV=3
Q16778,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 2-E OS=Homo sapiens OX=9606 GN=H2BC21 PE=1 SV=3
P62807,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-C/E/F/G/I OS=Homo sapiens OX=9606 GN=H2BC10 PE=1 SV=4
P58876,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-D OS=Homo sapiens OX=9606 GN=H2BC5 PE=1 SV=2
P33778,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-B OS=Homo sapiens OX=9606 GN=H2BC3 PE=1 SV=2
P23527,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-O OS=Homo sapiens OX=9606 GN=H2BC17 PE=1 SV=3
P06899,10,10,957902.3,823929.2,882226.5,750273.8,870289.5,921765.3,929167.2,850392.2,916029.8,700648,917772,905460.7,Histone H2B type 1-J OS=Homo sapiens OX=9606 GN=H2BC11 PE=1 SV=3
P17661,32,32,914747.19,996355.56,831456.81,1359291.44,1217976.59,1225131.53,887306.78,1028356.62,863314.88,1269383.78,1284428.72,1203461.22,Desmin OS=Homo sapiens OX=9606 GN=DES PE=1 SV=3
P14927,5,5,877775.8,796767,928208,785091.8,775139.8,792570,851444.6,822357.2,963773.2,733163.2,817430.6,778550.8,Cytochrome b-c1 complex subunit 7 OS=Homo sapiens OX=9606 GN=UQCRB PE=1 SV=2
P61604,7,7,807850.86,693205.57,492336.14,933529.86,1009721.43,835913,783616.86,715469.71,511200.29,871783.29,1064811,821127,"10 kDa heat shock protein, mitochondrial OS=Homo sapiens OX=9606 GN=HSPE1 PE=1 SV=2"
P26678,4,4,725363,563548.75,564364,701148.75,719269.5,664383,703603.75,581648.5,585988,654772.25,758512,652630.75,Cardiac phospholamban OS=Homo sapiens OX=9606 GN=PLN PE=1 SV=1
P19429,15,15,767634.07,716183.8,734535.93,723699.87,607140.4,648310.13,744606.6,739186.2,762680.33,675832,640265.33,636842.53,"Troponin I, cardiac muscle OS=Homo sapiens OX=9606 GN=TNNI3 PE=1 SV=3"
P09493,24,24,1613673.88,1626370.25,1393593.88,1490866.21,1260605.42,1459799.29,1565267.46,1678606.42,1446991,1392255.92,1329383.38,1433978.21,Tropomyosin alpha-1 chain OS=Homo sapiens OX=9606 GN=TPM1 PE=1 SV=2
Q9NX63,14,14,778549.71,786053.93,744247.71,815483.36,773603.57,866511,755194.86,811300.43,772764.14,761544.79,815810.71,851183.86,MICOS complex subunit MIC19 OS=Homo sapiens OX=9606 GN=CHCHD3 PE=1 SV=1
P99999,6,6,1022051.83,1127798.17,877501.17,1347997,1304400.83,1059800.67,991392.5,1164021,911123.5,1258836.5,1375568.17,1041054.5,Cytochrome c OS=Homo sapiens OX=9606 GN=CYCS PE=1 SV=2
P67936,16,16,750287.31,809038.56,676808.5,743081.19,627112.19,705531.56,727780.19,835023.25,702740.94,693931.38,661326.88,693051.81,Tropomyosin alpha-4 chain OS=Homo sapiens OX=9606 GN=TPM4 PE=1 SV=3
P02144,10,10,1776105.4,1820324.2,1530786.6,2041465.5,1473438.9,1695690.6,1722826.5,1878789.9,1589440.6,1906437,1553829,1665697.1,Myoglobin OS=Homo sapiens OX=9606 GN=MB PE=1 SV=2
Q9Y281,10,10,3699484,3458100.6,3395543.3,4654767.1,3582145.1,3726263.2,3588508.9,3569169.4,3525648.4,4346887.8,3777585.8,3660353.2,Cofilin-2 OS=Homo sapiens OX=9606 GN=CFL2 PE=1 SV=1
P56381,3,3,1850787.67,1702024,2125435,1765316.67,1587051,1645598.67,1795268.33,1756690,2206873.67,1648553.33,1673640,1616491.33,"ATP synthase subunit epsilon, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1E PE=1 SV=2"
Q5VTU8,3,3,1850787.67,1702024,2125435,1765316.67,1587051,1645598.67,1795268.33,1756690,2206873.67,1648553.33,1673640,1616491.33,"ATP synthase subunit epsilon-like protein, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1EP2 PE=1 SV=1"
O14949,5,5,581928.6,558343.2,594765.2,551011.2,493121.2,563227.2,564471.8,576275.8,617554,514565.4,520025.2,553264.6,Cytochrome b-c1 complex subunit 8 OS=Homo sapiens OX=9606 GN=UQCRQ PE=1 SV=4
P39019,5,5,346278,356737.8,318216.6,362769.2,341190.8,347702.8,335890,368195.6,330409,338774,359805.4,341552,40S ribosomal protein S19 OS=Homo sapiens OX=9606 GN=RPS19 PE=1 SV=2
P62857,2,2,395028.5,805603.5,409549,771407.5,468140.5,514805,383178,831477.5,425241,720384,493681.5,505699,40S ribosomal protein S28 OS=Homo sapiens OX=9606 GN=RPS28 PE=1 SV=1
P61088,5,5,329178.6,309255.4,270617.4,336694,302963.4,304316.8,319303.4,319187.8,280986,314423.8,319492.4,298933.4,Ubiquitin-conjugating enzyme E2 N OS=Homo sapiens OX=9606 GN=UBE2N PE=1 SV=1
O00483,8,8,3176712.5,2611802.12,2909629.25,2938943.38,2349877.88,2905402.12,3081419,2695688.88,3021115.5,2744553.38,2478086.12,2854011.62,Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1
O43678,5,5,524072,505642.2,502897,471766,439209.6,469730.8,508350.8,521882.2,522165.6,440561.8,463172.2,461421.8,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3
P56556,6,6,390008.83,358472.5,373166.17,335985.5,315298.67,357728.5,378309,369985.33,387464.33,313761.67,332500.83,351400.83,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6 OS=Homo sapiens OX=9606 GN=NDUFA6 PE=1 SV=4
P09669,4,4,1953876.75,1721411.75,2115534,2227242.5,1968502.75,1648487.5,1895265.25,1776700.5,2196593.75,2079926,2075903.5,1619329,Cytochrome c oxidase subunit 6C OS=Homo sapiens OX=9606 GN=COX6C PE=1 SV=2
P84243,5,5,3128611.8,2827604.8,3219412.4,2964634.2,3549719.6,3841149.8,3034761.4,2918422.8,3342768.8,2768545,3743391.2,3773207.8,Histone H3.3 OS=Homo sapiens OX=9606 GN=H3-3B PE=1 SV=2
P14854,4,4,611067.5,553972.5,557688.75,602583,492298.25,552516.5,592736.5,571764.75,579057,562726,519157.25,542743,Cytochrome c oxidase subunit 6B1 OS=Homo sapiens OX=9606 GN=COX6B1 PE=1 SV=2
Q9UII2,5,5,638999,670507,577472.4,867001.6,814667.8,763918,619830.4,692042.4,599598.4,809655.4,859115.6,750405.4,"ATPase inhibitor, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5IF1 PE=1 SV=1"
P09382,8,8,2135411.88,2062698.12,1846322.88,1920473.88,2287162.62,2168532.88,2071354.88,2128948.5,1917067.12,1793448,2411949.62,2130175.88,Galectin-1 OS=Homo sapiens OX=9606 GN=LGALS1 PE=1 SV=2
P59665,3,3,319102.67,321564.33,517620,316972,273304.33,298239.33,309530,331892,537453,296006,288215.33,292963.67,Neutrophil defensin 1 OS=Homo sapiens OX=9606 GN=DEFA1B PE=1 SV=1
P59666,3,3,319102.67,321564.33,517620,316972,273304.33,298239.33,309530,331892,537453,296006,288215.33,292963.67,Neutrophil defensin 3 OS=Homo sapiens OX=9606 GN=DEFA3 PE=1 SV=1
O95182,6,6,571189.67,516302.83,536695.67,533078.67,505718.5,558754.67,554055.17,532885.17,557259.67,497818.83,533309.83,548870.83,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 7 OS=Homo sapiens OX=9606 GN=NDUFA7 PE=1 SV=3
Q06830,9,9,913757.22,793337.22,759742.89,877787.78,850239.67,855483.22,886346.44,818817.56,788853.11,819728.11,896628.33,840351.22,Peroxiredoxin-1 OS=Homo sapiens OX=9606 GN=PRDX1 PE=1 SV=1
P62937,6,6,608349.5,573477.83,495294.33,657067.33,648536.5,634881.83,590100.17,591896.5,514272,613606.67,683920,623651.83,Peptidyl-prolyl cis-trans isomerase A OS=Homo sapiens OX=9606 GN=PPIA PE=1 SV=2
Q99584,4,4,543301,443876.25,380775.25,603868,633730.25,520174.25,527002.75,458132.25,395364.75,563926,668306,510973,Protein S100-A13 OS=Homo sapiens OX=9606 GN=S100A13 PE=1 SV=1
O95298,6,6,1546724.17,1359648.5,1482890,1316449.5,1262446.33,1417111,1500326.17,1403318,1539708.67,1229375.5,1331324.83,1392045,NADH dehydrogenase [ubiquinone] 1 subunit C2 OS=Homo sapiens OX=9606 GN=NDUFC2 PE=1 SV=1
P62805,5,5,552115.4,503658.8,499323,469680.4,476266.4,502210.2,535553,519835,518455,438613.8,502251,493326.6,Histone H4 OS=Homo sapiens OX=9606 GN=H4-16 PE=1 SV=2
P18206,46,46,818291.98,719233.63,663858.33,926483.7,837192.35,883469.07,793744.91,742333.85,689294.61,865203.09,882868.89,867841.93,Vinculin OS=Homo sapiens OX=9606 GN=VCL PE=1 SV=4
P08670,20,20,766344.25,758287.05,793231.2,853577.7,1063932.6,1000360.95,743355.4,782641.7,823624.5,797119.25,1121980.1,982666.35,Vimentin OS=Homo sapiens OX=9606 GN=VIM PE=1 SV=4
P40925,12,12,728178.08,691249.5,569042.58,807818.75,660874.25,707806.92,706334.08,713451,590845.83,754387,696930.92,695287,"Malate dehydrogenase, cytoplasmic OS=Homo sapiens OX=9606 GN=MDH1 PE=1 SV=4"
P61981,8,8,671911.62,712956.38,667650,838646.75,750532.25,843298,651755.88,735855,693231.5,783176,791480.5,828381.38,14-3-3 protein gamma OS=Homo sapiens OX=9606 GN=YWHAG PE=1 SV=2
Q9UIJ7,8,8,797507.5,738357.25,638543.62,856035,917616.12,899884.38,773584,762071.88,663009.88,799414,967680.75,883967,"GTP:AMP phosphotransferase AK3, mitochondrial OS=Homo sapiens OX=9606 GN=AK3 PE=1 SV=4"
Q9H0N5,4,4,361022.75,399896.5,384015.25,401873.75,371484.5,394379.5,350192.5,412740.25,398729,375292.25,391752,387403.25,Pterin-4-alpha-carbinolamine dehydratase 2 OS=Homo sapiens OX=9606 GN=PCBD2 PE=1 SV=4
P15954,3,3,401147,350106.67,414085.33,387666,312337,396039.33,389113,361351.33,429951.33,362024.33,329377.67,389033.67,"Cytochrome c oxidase subunit 7C, mitochondrial OS=Homo sapiens OX=9606 GN=COX7C PE=1 SV=1"
P02545,24,24,713692.08,652981.88,626142.5,636584.29,721329.71,651510.96,692282.71,673954.12,650133.58,594478.46,760684.75,639986.62,Prelamin-A/C OS=Homo sapiens OX=9606 GN=LMNA PE=1 SV=1
P08590,19,19,4401984.53,4200089.32,3932579.16,4185331.89,3170319.63,3894654.37,4269936.26,4334989.47,4083261.47,3908502.37,3343291.26,3825766,Myosin light chain 3 OS=Homo sapiens OX=9606 GN=MYL3 PE=1 SV=3
O75947,7,7,1154484.29,1098631.86,1336473.14,1059278.14,997876.29,1006381.43,1119852.29,1133917.86,1387681.71,989214,1052319.57,988580.29,"ATP synthase subunit d, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5PD PE=1 SV=3"
P50213,13,13,1132635.92,1078837.31,1075090.62,1155932.54,1148467.08,1135717.85,1098659.38,1113487.54,1116283.77,1079475.69,1211126.85,1115629,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=IDH3A PE=1 SV=1"
P00441,8,8,1395125.38,1220426.62,1031557.38,1561301.88,1396475.62,1377412.25,1353275,1259624.38,1071082.62,1458032.75,1472666.5,1353048.25,Superoxide dismutase [Cu-Zn] OS=Homo sapiens OX=9606 GN=SOD1 PE=1 SV=2
O00217,6,6,805496.5,775346.17,786057.83,726923.83,712713.83,802850.33,781333.33,800248.5,816176,678842.83,751598.83,788649.33,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial OS=Homo sapiens OX=9606 GN=NDUFS8 PE=1 SV=1"
P32119,6,6,841974,877246,704485,882189.5,905024.33,858274,816716.5,905421.33,731478,823838.67,954401.83,843092.5,Peroxiredoxin-2 OS=Homo sapiens OX=9606 GN=PRDX2 PE=1 SV=5
P08559,18,18,749601.67,793985.61,758646,815216.56,781864.44,825337.5,727115.22,819486.78,787714.11,761295.44,824522.44,810738.56,"Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial OS=Homo sapiens OX=9606 GN=PDHA1 PE=1 SV=3"
P06753,19,19,746176.89,929279,675778.89,725530.37,608071.42,711039.89,723793.05,959125.58,701671.84,677541.42,641247.21,698462.74,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=2
P05141,13,13,2422532.31,2229130.23,2453006.92,2307591.46,2509646.46,2554460.69,2349862.31,2300726.15,2546997.31,2154960.54,2646572,2509277.38,ADP/ATP translocase 2 OS=Homo sapiens OX=9606 GN=SLC25A5 PE=1 SV=7
P12236,13,13,2422532.31,2229130.23,2453006.92,2307591.46,2509646.46,2554460.69,2349862.31,2300726.15,2546997.31,2154960.54,2646572,2509277.38,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4
P30405,9,9,1291043.44,1325943.22,1144757.44,1637420.89,1501361.78,1577948.56,1252315.11,1368530.11,1188620.22,1529117,1583275.33,1550037.56,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial OS=Homo sapiens OX=9606 GN=PPIF PE=1 SV=1"
Q16891,29,29,821556.17,816976.03,790500.31,847308.9,799465.79,880946.62,796911.1,843215.55,820788.97,791265,843084.07,865364.14,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1
P12883,137,137,3228215,3057461.77,2997234.61,3306034.96,2598689.17,3143099.53,3131376.76,3155662.47,3112077.76,3087364.43,2740472.72,3087504.55,Myosin-7 OS=Homo sapiens OX=9606 GN=MYH7 PE=1 SV=5
P02511,7,7,1076136.43,1035240.43,1012180,876144.43,824346.57,955118.57,1043854.71,1068490.43,1050962.86,818193.57,869322.29,938224,Alpha-crystallin B chain OS=Homo sapiens OX=9606 GN=CRYAB PE=1 SV=2
P08133,22,22,794588.09,746017,645458.55,711172.27,611442,721806.82,770752.09,769977.41,670189.73,664132.91,644801.64,709039.18,Annexin A6 OS=Homo sapiens OX=9606 GN=ANXA6 PE=1 SV=3
P12235,14,14,2965854.07,2603643.21,2982181.29,2555430.86,2868287.43,2731751.64,2876885.86,2687267.93,3096447.79,2386407.21,3024780.36,2683432.36,ADP/ATP translocase 1 OS=Homo sapiens OX=9606 GN=SLC25A4 PE=1 SV=4
P35232,14,14,1010671.14,912001.57,951021.14,1031997.5,944465.93,981401.29,980353.36,941293.29,987460.43,963738.07,995995.29,964041.93,Prohibitin 1 OS=Homo sapiens OX=9606 GN=PHB1 PE=1 SV=1
P13073,6,6,743401.83,634627.33,677113.5,705473.67,574413.17,715588.33,721101.33,655010.17,703057.67,658811.17,605752.5,702930.83,"Cytochrome c oxidase subunit 4 isoform 1, mitochondrial OS=Homo sapiens OX=9606 GN=COX4I1 PE=1 SV=1"
P21912,10,10,915206.7,886344.5,1075963.9,851020.4,887480.4,878944,887752.6,914812.2,1117190.8,794731.1,935900.6,863396.8,"Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=3"
P62851,3,3,424708,419407.33,495921.33,459606,455341.33,461885,411967.33,432877.67,514923,429206,480184,453714.67,40S ribosomal protein S25 OS=Homo sapiens OX=9606 GN=RPS25 PE=1 SV=1
P27144,5,5,554219.4,569482.2,423766.8,607130.2,588517,542055.6,537593.6,587772.6,440003.6,566972.4,620625.8,532467.4,"Adenylate kinase 4, mitochondrial OS=Homo sapiens OX=9606 GN=AK4 PE=1 SV=1"
P00558,14,14,1192593.57,1076530.14,871717.93,1411751.43,1470021.07,1386174.79,1156818.57,1111106.21,905118.71,1318373.93,1550224.64,1361655.93,Phosphoglycerate kinase 1 OS=Homo sapiens OX=9606 GN=PGK1 PE=1 SV=3
Q02978,11,11,875033.64,726006.45,833558.64,732139.82,753038.36,804078.82,848784.45,749324.27,865497.18,683713.45,794123.55,789855.91,Mitochondrial 2-oxoglutarate/malate carrier protein OS=Homo sapiens OX=9606 GN=SLC25A11 PE=1 SV=3
P25705,24,24,2625031.92,2361155.17,2746831.58,2487938.79,2490944.38,2429599.88,2546287.42,2436991.62,2852080.12,2323379.33,2626849.33,2386625.17,"ATP synthase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1A PE=1 SV=1"
P00505,15,15,1633185.67,1360050.8,1090944.13,1823618.33,1849737.73,1640349.53,1584193.87,1403733.13,1132744.73,1702998.8,1950658.67,1611334.87,"Aspartate aminotransferase, mitochondrial OS=Homo sapiens OX=9606 GN=GOT2 PE=1 SV=3"
P07355,12,12,911359.83,812432.17,901710.75,825139,971244.33,851686.5,884021,838525.83,936260.58,770561.58,1024234.67,836621.5,Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2
P36542,12,12,1263812.58,1224423.33,1461756.58,1200832.42,1124973.5,1154206.17,1225901.08,1263749.42,1517765.58,1121405.67,1186351.33,1133790.17,"ATP synthase subunit gamma, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5F1C PE=1 SV=1"
Q9Y305,12,12,323587.58,322952.17,270276.33,347989.92,364110.58,373969.42,313880.33,333324.42,280631.83,324972.42,383975.92,367354.25,"Acyl-coenzyme A thioesterase 9, mitochondrial OS=Homo sapiens OX=9606 GN=ACOT9 PE=1 SV=2"
Q14896,48,48,1147980.31,1009876.12,1012682.56,1140393.92,941382.6,1042623.9,1113543.52,1042311.4,1051484.52,1064964.75,992743.81,1024181.67,"Myosin-binding protein C, cardiac-type OS=Homo sapiens OX=9606 GN=MYBPC3 PE=1 SV=4"
Q96I99,12,12,626902.83,504182.67,410848.42,640867.33,589407.67,614438.5,608096.92,520375.75,426590.17,598478.25,621565.33,603569.92,"Succinate--CoA ligase [GDP-forming] subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=SUCLG2 PE=1 SV=2"
P56385,4,4,502590.75,472105,544277.5,442720.75,410389.5,456624.75,487513.75,487267.75,565131.75,413437.75,432779.75,448547.25,"ATP synthase subunit e, mitochondrial OS=Homo sapiens OX=9606 GN=ATP5ME PE=1 SV=2"
Q15149,138,138,404982.17,391273.69,380612.58,410707.25,404801.02,378854.86,392833.28,403840.32,395195.8,383541.49,426886.34,372153.24,Plectin OS=Homo sapiens OX=9606 GN=PLEC PE=1 SV=3
P04075,12,12,897370.25,863067.75,630188.75,946671,949853.58,1015993.33,870451.17,890787.75,654335,884055.08,1001677,998022,Fructose-bisphosphate aldolase A OS=Homo sapiens OX=9606 GN=ALDOA PE=1 SV=2
P09497,10,10,491878.7,508625.3,453377.2,565151.9,536737.6,539591.4,477123,524961.1,470748.4,527770.6,566021.5,530046.7,Clathrin light chain B OS=Homo sapiens OX=9606 GN=CLTB PE=1 SV=1
P46781,7,7,593912.14,543207.29,704429.57,649614.43,568215.86,555523.57,576095.86,560653.86,731420.14,606646.86,599217,545697.14,40S ribosomal protein S9 OS=Homo sapiens OX=9606 GN=RPS9 PE=1 SV=3
O76041,31,31,737467.9,675455.81,692466.42,712383.35,599419.9,709523.9,715345.29,697149.97,718998.77,665263.97,632123.61,696973.45,Nebulette OS=Homo sapiens OX=9606 GN=NEBL PE=1 SV=1
P48735,16,16,1495996.81,1320852.69,1179320.81,1279525.75,1478154,1475153.5,1451120.44,1363276.06,1224507.81,1194894,1558801.31,1449060.81,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2"
P06732,15,15,1936345.47,1615526.27,1750950.4,1676670,1300732.73,1529827.13,1878259.87,1667414.2,1818040.2,1565770,1371699.93,1502767.33,Creatine kinase M-type OS=Homo sapiens OX=9606 GN=CKM PE=1 SV=2
P10916,9,9,2421884.33,3844597.22,2220704.33,2540160.33,1846801.67,2518113.44,2349233.89,3968079.67,2305793.44,2372146.78,1947562.44,2473573,"Myosin regulatory light chain 2, ventricular/cardiac muscle isoform OS=Homo sapiens OX=9606 GN=MYL2 PE=1 SV=3"
P60660,5,5,603795.2,589078,645788.6,620881.4,748143.8,790864,585682.4,607997.8,670532.6,579814,788962,776875,Myosin light polypeptide 6 OS=Homo sapiens OX=9606 GN=MYL6 PE=1 SV=2
P62701,8,8,578163,560399,623436.5,670590.25,649790.12,649295,560819.12,578397.75,647323.88,626235.25,685242,637809.88,"40S ribosomal protein S4, X isoform OS=Homo sapiens OX=9606 GN=RPS4X PE=1 SV=2"
P51970,7,7,1858717.43,1657802.86,1772033.29,1524622.57,1449488.14,1620094.86,1802960.29,1711048.57,1839930.86,1423779.43,1528571.29,1591438.29,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8 OS=Homo sapiens OX=9606 GN=NDUFA8 PE=1 SV=3
P15924,95,95,664977.86,546223.98,601758,619671.32,547353.38,522502.24,645029.8,563767.4,624814.85,578684.06,577216.36,513259.85,Desmoplakin OS=Homo sapiens OX=9606 GN=DSP PE=1 SV=3
P11310,12,12,773587.67,1062110.58,703264.58,1299957.83,1135570.5,1075997.92,750381.75,1096223.33,730210.67,1213974.67,1197526.58,1056965.25,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens OX=9606 GN=ACADM PE=1 SV=1"
P62258,7,7,730863.71,781333.43,727914.43,847129,783324.29,882817.57,708939.43,806428.29,755805.14,791097.29,826061.71,867201.86,14-3-3 protein epsilon OS=Homo sapiens OX=9606 GN=YWHAE PE=1 SV=1
P38117,8,8,1266160.62,1081198.5,887520.12,1540944.38,1517531,1406327.88,1228178.75,1115924.62,921526.25,1439021.62,1600326.88,1381452.5,Electron transfer flavoprotein subunit beta OS=Homo sapiens OX=9606 GN=ETFB PE=1 SV=3
P02768,19,19,2347042.68,1697334.79,1820014.26,1367398.63,1015158.63,608845.79,2276637.21,1751850.21,1889750.32,1276954.79,1070545,598076.21,Albumin OS=Homo sapiens OX=9606 GN=ALB PE=1 SV=2
P19367,29,29,585888.24,614229.72,549849.31,726928.1,740574.52,695189.52,568312.62,633957.31,570917.07,678846.66,780979.62,682892.62,Hexokinase-1 OS=Homo sapiens OX=9606 GN=HK1 PE=1 SV=3
Q14192,13,13,1003193.38,1071028.92,1197116.92,969642.54,494691.38,879856.15,973099.77,1105428.38,1242985.92,905507.31,521681.08,864292.92,Four and a half LIM domains protein 2 OS=Homo sapiens OX=9606 GN=FHL2 PE=1 SV=3
P45880,11,11,5276326.64,4804272.55,5423201.64,5271709.64,5190835.73,5450054.27,5118050.45,4958578.27,5630999.36,4923024,5474046.27,5353654.27,Voltage-dependent anion-selective channel protein 2 OS=Homo sapiens OX=9606 GN=VDAC2 PE=1 SV=2
P00338,9,9,894725.89,849033.44,726899,882835.44,1145242.67,1043761.33,867886,876302.67,754750.78,824441.89,1207726.44,1025299.11,L-lactate dehydrogenase A chain OS=Homo sapiens OX=9606 GN=LDHA PE=1 SV=2
P10412,5,5,1162050.2,989153.6,1053089,809264.4,819497,944469.8,1127191.4,1020923.2,1093439,755736.8,864208.2,927763.8,Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2
P50461,6,6,895626,962416.5,711773.5,1406742.67,1156820,1132949.17,868759.33,993327.5,739045.5,1313696.67,1219935.5,1112909.5,Cysteine and glycine-rich protein 3 OS=Homo sapiens OX=9606 GN=CSRP3 PE=1 SV=1
